Territory;Date;xmin;xmax
Farallon-3-2019-1;2019-06-15;0.6;0.8
Farallon-3-2019-2;2019-06-15;;
Farallon-3-2019-4;2019-06-15;;
Farallon-3-2019-5;2019-06-15;;
Farallon-3-2019-6;2019-06-15;;
Farallon-3-2019-1;2019-06-16;0.6;0.8
Farallon-3-2019-2;2019-06-16;0;0.1
Farallon-3-2019-4;2019-06-16;;
Farallon-3-2019-5;2019-06-16;;
Farallon-3-2019-6;2019-06-16;0.1;0.2
Farallon-3-2019-1;2019-06-17;0.6;0.8
Farallon-3-2019-2;2019-06-17;0;0.07
Farallon-3-2019-4;2019-06-17;;
Farallon-3-2019-5;2019-06-17;0.08;0.11
Farallon-3-2019-6;2019-06-17;0.12;0.2
Farallon-3-2019-1;2019-06-18;0.65;0.8
Farallon-3-2019-2;2019-06-18;0;0.105
Farallon-3-2019-4;2019-06-18;0.5;0.64
Farallon-3-2019-5;2019-06-18;0.105;0.11
Farallon-3-2019-6;2019-06-18;0.12;0.15
Farallon-3-2019-1;2019-06-19;0.65;0.8
Farallon-3-2019-2;2019-06-19;0;0.105
Farallon-3-2019-4;2019-06-19;0.5;0.64
Farallon-3-2019-5;2019-06-19;0.095;0.12
Farallon-3-2019-6;2019-06-19;0.14;0.2
Farallon-3-2019-1;2019-06-20;0.7;0.8
Farallon-3-2019-2;2019-06-20;0;0.09
Farallon-3-2019-4;2019-06-20;0.5;0.64
Farallon-3-2019-5;2019-06-20;0.095;0.12
Farallon-3-2019-6;2019-06-20;0.14;0.2
Farallon-3-2019-1;2019-06-21;0.7;0.8
Farallon-3-2019-2;2019-06-21;0;0.09
Farallon-3-2019-4;2019-06-21;0.5;0.64
Farallon-3-2019-5;2019-06-21;0.095;0.12
Farallon-3-2019-6;2019-06-21;0.14;0.2
Farallon-3-2019-1;2019-06-22;0.7;0.8
Farallon-3-2019-2;2019-06-22;0;0.09
Farallon-3-2019-4;2019-06-22;0.5;0.64
Farallon-3-2019-5;2019-06-22;0.095;0.12
Farallon-3-2019-6;2019-06-22;0.14;0.2
Farallon-3-2019-1;2019-06-23;0.7;0.8
Farallon-3-2019-2;2019-06-23;0;0.09
Farallon-3-2019-4;2019-06-23;0.5;0.64
Farallon-3-2019-5;2019-06-23;0.095;0.12
Farallon-3-2019-6;2019-06-23;0.14;0.2
Farallon-3-2019-1;2019-06-24;0.7;0.8
Farallon-3-2019-2;2019-06-24;0;0.09
Farallon-3-2019-4;2019-06-24;0.5;0.64
Farallon-3-2019-5;2019-06-24;0.095;0.12
Farallon-3-2019-6;2019-06-24;0.14;0.2
Farallon-3-2019-1;2019-06-25;0.7;0.8
Farallon-3-2019-2;2019-06-25;0;0.09
Farallon-3-2019-4;2019-06-25;0.5;0.64
Farallon-3-2019-5;2019-06-25;0.095;0.12
Farallon-3-2019-6;2019-06-25;0.14;0.2
Farallon-3-2019-1;2019-06-26;0.7;0.8
Farallon-3-2019-2;2019-06-26;0;0.09
Farallon-3-2019-4;2019-06-26;0.5;0.64
Farallon-3-2019-5;2019-06-26;0.095;0.12
Farallon-3-2019-6;2019-06-26;0.14;0.2
Farallon-3-2019-1;2019-06-27;0.7;0.8
Farallon-3-2019-2;2019-06-27;0;0.09
Farallon-3-2019-4;2019-06-27;0.5;0.64
Farallon-3-2019-5;2019-06-27;0.095;0.12
Farallon-3-2019-6;2019-06-27;0.14;0.2
Farallon-3-2019-1;2019-06-28;0.7;0.8
Farallon-3-2019-2;2019-06-28;0;0.09
Farallon-3-2019-4;2019-06-28;0.5;0.64
Farallon-3-2019-5;2019-06-28;0.095;0.12
Farallon-3-2019-6;2019-06-28;0.14;0.2
Farallon-3-2019-1;2019-06-29;0.7;0.8
Farallon-3-2019-2;2019-06-29;0;0.09
Farallon-3-2019-4;2019-06-29;0.5;0.64
