PairID,Yr,HatchDate
Bonden-2-2018-1,2018,2018-06-17
Bonden-3-2018-1,2018,2018-06-12
Bonden-4-2018-4,2018,2018-06-17
Bonden-6-2018-1,2018,2018-06-20
Bonden-6-2018-2,2018,2018-06-28
Farallon-3-2018-1,2018,2018-06-12
Farallon-3-2018-2,2018,2018-06-12
Farallon-3-2018-5,2018,2018-06-15
Farallon-3-2018-6,2018,NA
Farallon-3-2018-7,2018,2018-06-25
Farallon-4-2018-2,2018,2018-06-15
Rost-2-2018-1,2018,2018-06-09
Rost-2-2018-4,2018,2018-06-12
Rost-5-2018-1,2018,NA
Rost-5-2018-2,2018,2018-06-15
Rost-6-2018-1,2018,2018-06-14
Triangle-1-2018-1,2018,NA
Triangle-2-2018-1,2018,2018-06-13
Triangle-3-2018-3,2018,NA
Rost-3-2012-2,2012,NA
Rost-3-2012-1,2012,2012-06-11
Bonden-4-2018-2,2018,2018-06-15
Bonden-5-2018-2,2018,2018-06-23
Farallon-1-2018-3,2018,2018-06-14
Farallon-1-2018-4,2018,2018-06-14
Farallon-3-2018-3,2018,2018-06-15
Rost-6-2018-3,2018,NA
Triangle-1-2018-4,2018,NA
Triangle-2-2018-3,2018,2018-06-17
Farallon-3-2010-5,2010,NA
Rost-3-2010-5,2010,2010-06-13
Farallon-3-2011-4,2011,2011-06-14
Farallon-3-2011-3,2011,2011-06-12
Farallon-3-2011-5,2011,NA
Farallon-2-2011-1,2011,NA
Rost-2-2011-1,2011,NA
Farallon-3-2012-4,2012,2012-06-12
Farallon-3-2012-5,2012,NA
Rost-2-2012-1,2012,2012-06-12
Rost-2-2012-2,2012,2012-06-14
Farallon-2-2013-1,2013,NA
Farallon-3-2013-1,2013,2013-06-10
Farallon-3-2013-2,2013,2013-06-13
Farallon-3-2013-4,2013,2013-06-14
Farallon-3-2013-5,2013,2013-06-22
Rost-2-2013-1,2013,2013-06-10
Rost-2-2013-2,2013,2013-06-11
Rost-3-2013-1,2013,2013-06-10
Bonden-4-2014-1,2014,NA
Farallon-1-2014-2,2014,NA
Farallon-3-2014-4,2014,NA
Farallon-3-2014-1,2014,2014-06-11
Rost-2-2014-1,2014,2014-06-04
Rost-3-2014-1,2014,2014-06-04
Rost-3-2014-3,2014,2014-06-07
Bonden-4-2016-4,2016,2016-07-13
Farallon-1-2016-2,2016,NA
Farallon-3-2016-1,2016,2016-06-11
Farallon-3-2016-2,2016,2016-06-12
Farallon-3-2016-4,2016,2016-06-14
Farallon-3-2016-5,2016,2016-06-13
Farallon-3-2016-6,2016,2016-06-17
Farallon-3-2016-7,2016,2016-06-18
