PairID;HatchDate;WeightDate;Age;Vikt
Farallon-2-2017-1;2017-06-17;2017-07-02;15;225
Farallon-1-2017-4;2017-06-17;2017-07-02;15;240
Triangle-2-2017-2;2017-06-20;2017-07-02;12;185
Triangle-2-2017-5;2017-06-22;2017-07-02;10;210
Triangle-2-2017-3;2017-06-18;2017-07-02;14;275
Farallon-3-2017-7;2017-06-15;2017-07-02;17;290
Farallon-3-2017-5;2017-06-15;2017-07-02;17;210
Farallon-3-2017-8;2017-06-13;2017-07-02;19;280
Farallon-3-2017-2;2017-06-12;2017-07-02;20;300
Bonden-4-2017-3;2017-06-17;2017-07-02;15;245
Bonden-4-2017-1;2017-06-13;2017-07-02;19;255
Bonden-4-2017-4;2017-06-21;2017-07-02;11;240
Bonden-4-2017-2;2017-06-13;2017-07-02;19;260
Rost-5-2017-4;2017-06-16;2017-07-02;16;290
Rost-5-2017-3;2017-06-14;2017-07-02;18;280
Farallon-4-2017-2;2017-06-20;2017-07-02;12;185
Farallon-4-2017-1;2017-06-20;2017-07-02;12;250
Triangle-2-2016-1;2016-06-17;2016-07-05;18;190
Farallon-3-2016-6;2016-06-17;2016-07-05;18;220
Farallon-3-2016-7;2016-06-18;2016-07-05;17;240
Rost-3-2016-1;2016-06-16;2016-07-05;19;245
Rost-3-2016-3;2016-06-14;2016-07-05;21;230
Rost-5-2019-1;2019-06-09;2019-06-27;18;275
Rost-5-2019-3;2019-06-20;2019-06-30;10;215
Rost-5-2019-2;2019-06-15;2019-06-30;15;225
Bonden-6-2019-1;2019-06-17;2019-06-30;13;225
Bonden-5-2019-1;2019-06-18;2019-06-30;12;200
Bonden-5-2019-2;2019-06-20;2019-06-30;10;215
Bonden-5-2019-3;2019-06-20;2019-06-30;10;190
Bonden-4-2019-1;2019-06-16;2019-06-30;14;230
Bonden-4-2019-2;2019-06-15;2019-06-30;15;200
Bonden-4-2019-3;2019-06-18;2019-06-30;12;215
Farallon-4-2019-1;2019-06-14;2019-06-30;16;195
Farallon-4-2019-2;2019-06-20;2019-06-30;10;185
Farallon-1-2019-4;2019-06-17;2019-06-30;13;200
Farallon-1-2019-3;2019-06-14;2019-06-30;16;215
Farallon-1-2019-2;2019-06-14;2019-06-30;16;195
Farallon-1-2019-1;2019-06-15;2019-06-30;15;240
Farallon-1-2019-5;2019-06-17;2019-06-30;13;225
Rost-3-2019-1;2019-06-12;2019-06-30;18;250
Rost-3-2019-2;2019-06-13;2019-06-30;17;215
Rost-3-2019-3;2019-06-15;2019-06-30;15;270
Rost-2-2019-1;2019-06-12;2019-06-30;18;260
Rost-2-2019-3;2019-06-15;2019-06-30;15;260
Rost-2-2019-2;2019-06-13;2019-06-30;17;240
Rost-2-2019-4;2019-06-16;2019-06-30;14;215
Bonden-2-2019-1;2019-06-16;2019-06-30;14;235
Triangle-1-2019-2;2019-06-20;2019-06-30;10;190
Triangle-1-2019-3;2019-06-20;2019-06-30;10;225
Triangle-2-2019-2;2019-06-16;2019-06-30;14;185
Triangle-2-2019-5;2019-06-22;2019-06-30;8;205
Triangle-2-2019-1;2019-06-17;2019-06-30;13;275
Triangle-2-2019-4;2019-06-21;2019-06-30;9;190
Triangle-2-2019-3;2019-06-20;2019-06-30;10;185
Farallon-3-2019-1;2019-06-13;2019-06-30;17;230
Farallon-3-2019-5;2019-06-17;2019-06-30;13;200
Farallon-3-2019-6;2019-06-16;2019-06-30;14;220
Farallon-3-2019-2;2019-06-16;2019-06-30;14;225
Farallon-3-2019-4;2019-06-18;2019-06-30;12;210
Bonden-3-2019-1;2019-06-15;2019-06-30;15;245
Rost-3-2019-4;2019-06-22;2019-07-07;15;260
Rost-3-2019-5;2019-06-26;2019-07-07;11;190
Rost-6-2019-1;2019-06-25;2019-07-07;12;190
Bonden-6-2019-2;2019-06-29;2019-07-07;8;170
Farallon-4-2019-3;2019-06-22;2019-07-07;15;190
Farallon-5-2019-2;2019-06-23;2019-07-07;14;220
Farallon-5-2019-1;2019-06-20;2019-07-07;17;230
Triangle-4-2019-1;2019-06-29;2019-07-07;8;180
Bonden-5-2019-5;2019-06-28;2019-07-07;9;190
Farallon-6-2019-1;2019-07-02;2019-07-07;5;140
Rost-5-2021-2;2021-06-19;2021-06-27;8;185
Rost-5-2021-2;2021-06-19;2021-07-01;12;220
Triangle-1-2021-3;2021-06-22;2021-07-02;10;150
Triangle-1-2021-3;2021-06-22;2021-07-12;20;210
Triangle-1-2021-2;2021-06-21;2021-07-02;11;195
Triangle-1-2021-2;2021-06-21;2021-07-11;20;225
Triangle-1-2021-1;2021-06-21;2021-07-02;11;225
Triangle-1-2021-1;2021-06-21;2021-07-08;17;215
Triangle-1-2021-6;2021-06-26;2021-07-02;6;195
Triangle-1-2021-6;2021-06-26;2021-07-12;16;255
Triangle-1-2021-6;2021-06-26;2021-07-13;17;245
Bonden-6-2021-2;2021-06-23;2021-07-03;10;195
Bonden-6-2021-2;2021-06-23;2021-07-12;19;210
Bonden-6-2021-2;2021-06-23;2021-07-14;21;190
Bonden-6-2021-3;2021-06-24;2021-07-03;9;165
Bonden-6-2021-3;2021-06-24;2021-07-12;18;180
Bonden-6-2021-3;2021-06-24;2021-07-13;19;180
Bonden-6-2021-1;2021-06-18;2021-07-03;15;230
Bonden-6-2021-1;2021-06-18;2021-07-05;17;205
Bonden-5-2021-2;2021-06-18;2021-06-27;9;195
Bonden-5-2021-2;2021-06-18;2021-07-03;15;235
Bonden-5-2021-1;2021-06-17;2021-06-27;10;185
Bonden-5-2021-1;2021-06-17;2021-07-03;16;260
Bonden-5-2021-1;2021-06-17;2021-07-05;18;215
Bonden-5-2021-4;2021-06-21;2021-06-27;6;135
Bonden-5-2021-4;2021-06-21;2021-07-03;12;230
Bonden-4-2021-4;2021-06-23;2021-07-03;10;195
Bonden-4-2021-1;2021-06-18;2021-07-03;15;230
Bonden-4-2021-1;2021-06-18;2021-07-09;21;210
Bonden-4-2021-2;2021-06-21;2021-07-03;12;250
Bonden-4-2021-2;2021-06-21;2021-07-08;17;230
Farallon-6-2021-1;2021-06-22;2021-07-03;11;235
Farallon-6-2021-1;2021-06-22;2021-07-12;20;235
Farallon-5-2021-1;2021-06-22;2021-07-03;11;250
Farallon-5-2021-2;2021-06-24;2021-07-03;9;210
Farallon-5-2021-2;2021-06-24;2021-07-12;18;225
Farallon-4-2021-2;2021-06-20;2021-07-03;13;225
Farallon-4-2021-2;2021-06-20;2021-07-12;22;195
Farallon-4-2021-4;2021-06-23;2021-07-03;10;215
Farallon-4-2021-4;2021-06-23;2021-07-12;19;235
Farallon-4-2021-1;2021-06-20;2021-07-03;13;230
Farallon-4-2021-1;2021-06-20;2021-07-11;21;240
Triangle-5-2021-1;2021-06-26;2021-07-03;7;205
Triangle-5-2021-1;2021-06-26;2021-07-12;16;245
Triangle-5-2021-1;2021-06-26;2021-07-13;17;210
Rost-2-2021-5;2021-06-22;2021-07-04;12;195
Triangle-3-2021-2;2021-06-25;2021-07-04;9;190
Triangle-3-2021-2;2021-06-25;2021-07-11;16;205
Rost-6-2021-2;2021-06-29;2021-07-01;2;115
Rost-6-2021-2;2021-06-29;2021-07-04;5;160
Rost-6-2021-2;2021-06-29;2021-07-12;13;250
Rost-6-2021-2;2021-06-29;2021-07-14;15;220
Triangle-2-2021-6;2021-07-01;2021-07-02;1;90
Triangle-2-2021-6;2021-07-01;2021-07-05;4;110
Triangle-2-2021-6;2021-07-01;2021-07-12;11;175
Triangle-2-2021-6;2021-07-01;2021-07-15;14;150
Farallon-6-2021-2;2021-06-27;2021-07-03;6;135
Farallon-6-2021-2;2021-06-27;2021-07-07;10;180
Farallon-6-2021-2;2021-06-27;2021-07-12;15;200
Farallon-6-2021-3;2021-06-29;2021-07-03;4;110
Farallon-6-2021-3;2021-06-29;2021-07-07;8;145
Farallon-6-2021-3;2021-06-29;2021-07-12;13;215
Farallon-6-2021-3;2021-06-29;2021-07-14;15;180
Bonden-6-2021-5;2021-07-02;2021-07-03;1;75
Bonden-6-2021-5;2021-07-02;2021-07-07;5;135
Bonden-6-2021-5;2021-07-02;2021-07-12;10;185
Bonden-6-2021-5;2021-07-02;2021-07-15;13;165
Bonden-5-2017-1;;2017-07-15;;265
Rost-2-2018-3;2018-06-11;2018-06-26;15;205
Farallon-3-2018-2;2018-06-12;2018-06-26;14;245
Rost-5-2018-2;2018-06-15;2018-07-03;18;255
Bonden-4-2018-4;2018-06-17;2018-07-03;16;275
Bonden-4-2018-1;2018-06-13;2018-07-03;20;260
Bonden-4-2018-2;2018-06-15;2018-07-03;18;220
Bonden-4-2018-3;2018-06-14;2018-07-03;19;265
Farallon-4-2018-2;2018-06-15;2018-07-03;18;245
Rost-3-2018-2;2018-06-12;2018-07-03;21;235
Rost-3-2018-3;2018-06-12;2018-07-03;21;310
Rost-3-2018-4;2018-06-13;2018-07-03;20;275
Farallon-1-2018-3;2018-06-14;2018-07-03;19;240
Farallon-3-2018-4;2018-06-15;2018-07-03;18;220
Triangle-3-2018-1;2018-06-13;2018-07-03;20;245
Triangle-2-2018-2;2018-06-18;2018-07-03;15;250
Triangle-2-2018-1;2018-06-13;2018-07-03;20;280
Rost-5-2018-3;;2018-07-05;;215
Rost-5-2018-3;;2018-07-05;;215
Farallon-3-2018-7;2018-06-25;2018-07-05;10;180
Triangle-1-2018-3;2018-06-23;2018-07-05;12;180
